CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,325,1,11.253955234248428,2
12347.0,1,7,8.368925174747135,2
12348.0,74,4,7.494563687769957,2
12349.0,18,1,7.472244884833674,2
12350.0,309,1,5.815323849389109,1
12352.0,35,8,7.826858053356098,2
12353.0,203,1,4.499809670330265,1
12354.0,231,1,6.985086621918461,1
12355.0,213,1,6.132095676847728,1
12356.0,22,3,7.941804157314053,2
12357.0,32,1,8.733701981297274,2
12358.0,1,2,7.063955286074528,0
12359.0,57,4,8.759916600117213,2
12360.0,51,3,7.887231116540211,2
12361.0,286,1,5.251749730731702,1
12362.0,2,10,8.56163678004062,2
12363.0,109,2,6.315358001522335,0
12364.0,7,4,7.180907299649593,2
12365.0,290,2,6.465180028897591,1
12367.0,3,1,5.135210028677887,0
12370.0,50,4,8.173770053153254,2
12371.0,44,2,7.543781692052325,2
12372.0,71,3,7.169380809114136,0
12373.0,310,1,5.901539839579995,1
12374.0,24,1,6.6119469443852195,0
12375.0,10,2,6.127960291696519,0
12377.0,314,2,7.395795270713971,1
12378.0,129,1,8.29645175271804,2
12379.0,81,2,6.749040867823617,0
12380.0,21,4,7.910520910634419,2
12381.0,4,5,7.520944331624911,2
12383.0,184,5,7.523783805985769,2
12384.0,28,2,6.373780434317173,0
12386.0,337,2,5.998688392197302,1
12388.0,15,6,7.930803150780256,2
12390.0,79,1,6.311444385858925,0
12391.0,21,1,6.1353267674944725,0
12393.0,71,4,7.3674560152319755,2
12394.0,63,2,7.149508589545504,0
12395.0,18,12,8.012889586306857,2
12397.0,35,2,7.7877554007552545,2
12398.0,45,1,7.4004128587924045,0
12399.0,118,4,7.011799929268738,0
12401.0,302,1,4.446174454497633,1
12402.0,322,1,5.423186348593906,1
12403.0,49,1,6.0607573736039315,0
12405.0,148,1,7.445061184797548,0
12406.0,21,2,8.136313373066384,2
12407.0,49,5,7.4437338971514055,2
12408.0,32,5,7.968856059639959,2
12409.0,78,3,9.312325497408466,2
12410.0,308,2,6.542947351813216,1
12412.0,74,3,7.1130443840624835,0
12413.0,66,3,6.632133521022722,0
12414.0,216,3,6.334007604663525,1
12415.0,23,21,11.735393027855736,2
12417.0,2,9,8.202509843461513,2
12418.0,112,1,6.506650650150935,0
12420.0,63,1,6.3992436425478765,0
12421.0,15,4,6.694611562246261,0
12422.0,95,3,6.690295544136225,0
12423.0,0,8,7.528498419486568,2
12424.0,162,2,7.474182104762846,0
12425.0,77,1,6.6569835605504535,0
12426.0,194,1,6.369438547154207,1
12427.0,21,3,6.717562827807613,0
12428.0,25,9,8.981865132439246,2
12429.0,8,4,8.22988438262624,2
12430.0,42,1,5.5506312951620265,0
12431.0,35,15,8.777778952206313,2
12432.0,42,5,8.529185001388596,2
12433.0,0,7,9.50128237507538,2
12434.0,84,2,6.6934971352559,0
12435.0,79,2,8.965831447914955,2
12436.0,99,1,6.234430333369278,0
12437.0,1,18,8.507629605767502,2
12438.0,13,2,7.9751692554798295,2
12441.0,366,1,5.162211233551045,1
12442.0,2,1,5.153638355178593,0
12444.0,20,5,8.518484357502437,2
12445.0,21,1,4.900820428089049,0
12446.0,57,1,6.9110598129904375,0
12447.0,242,1,6.168543217293113,1
12448.0,43,1,6.110247083097449,0
12449.0,21,4,8.310978042729836,2
12450.0,155,2,5.292701627762401,1
12451.0,10,5,9.109029423519523,2
12452.0,16,2,6.067429722163682,0
12453.0,133,1,6.562571204258897,0
12454.0,55,1,8.168866163607964,2
12455.0,72,6,7.81110665732229,2
12456.0,43,3,8.065277779528966,2
12457.0,65,7,7.768207666517555,2
12458.0,70,2,6.854776354191251,0
12461.0,93,2,6.718868216346018,0
